state,x,y
Ladakh,-148,269
Jammu&Kashmir,-204,354
Himachal Pradesh,-146,301
Punjab,-189,266
Haryana,-168,116
Uttarakhand,-89,247
Uttar Pradesh,-54,156
Bihar,84,118
Jharkhand,47,64
Sikkim,155,181
Rajasthan,-232,146
Madhya Pradesh,-119,36
Gujrat,-299,38
Chattisgarh,-16,-5
Odisha,55,-31
West Bengal,140,43
Maharashtra,-190,-70
Karnataka,-187,-216
Andhra Pradesh,-101,-205
Tamil Nadu,-112,-318
Kerala,-166,-334
Telangana,-97,-113
Meghalaya,234,123
Assam,208,148
Arunachal Pradesh,320,217
Nagaland,241,148
Manipur,306,105
Mizoram,203,62
Tripura,249,71